,ID_consumidor,ID_lugar,calificacion,calificacion_comida,calificacion_servicio,latitud,longitud,fumador_activo,nivel_de_alcohol,vestimenta_preferida,ambiente,medio_de_transporte,estado_civil,año_nacimiento,intereses,ocupacion,presupuesto,tipo_de_comida,metodo_de_pago
32,U1031,132665,0,0,0,23.735698,-99.159851,falso,sobrio,informal,solitario,desconocido,casado,1992,ninguno,desempleado,medio,panaderia_cafeteria,dinero_efectivo
33,U1031,132668,0,0,0,23.735698,-99.159851,falso,sobrio,informal,solitario,desconocido,casado,1992,ninguno,desempleado,medio,panaderia_cafeteria,dinero_efectivo
34,U1082,132630,1,1,1,23.753061,-99.166095,verdadero,sobrio,informal,amigos,transporte_publico,soltero,1989,variedad,estudiante,medio,latinoamericana,dinero_efectivo
35,U1023,132715,0,0,0,23.752943,-99.166589,falso,bebedor_casual,informal,amigos,auto,soltero,1988,ninguno,estudiante,bajo,norteamericana,dinero_efectivo
36,U1023,132717,0,0,0,23.752943,-99.166589,falso,bebedor_casual,informal,amigos,auto,soltero,1988,ninguno,estudiante,bajo,norteamericana,dinero_efectivo
37,U1082,132613,0,0,0,23.753061,-99.166095,verdadero,sobrio,informal,amigos,transporte_publico,soltero,1989,variedad,estudiante,medio,latinoamericana,dinero_efectivo
38,U1082,132594,0,0,0,23.753061,-99.166095,verdadero,sobrio,informal,amigos,transporte_publico,soltero,1989,variedad,estudiante,medio,latinoamericana,dinero_efectivo
39,U1082,132608,0,0,0,23.753061,-99.166095,verdadero,sobrio,informal,amigos,transporte_publico,soltero,1989,variedad,estudiante,medio,latinoamericana,dinero_efectivo
40,U1082,132609,0,0,0,23.753061,-99.166095,verdadero,sobrio,informal,amigos,transporte_publico,soltero,1989,variedad,estudiante,medio,latinoamericana,dinero_efectivo
41,U1082,132663,0,0,0,23.753061,-99.166095,verdadero,sobrio,informal,amigos,transporte_publico,soltero,1989,variedad,estudiante,medio,latinoamericana,dinero_efectivo
42,U1082,132560,0,0,0,23.753061,-99.166095,verdadero,sobrio,informal,amigos,transporte_publico,soltero,1989,variedad,estudiante,medio,latinoamericana,dinero_efectivo
43,U1060,132564,2,2,2,23.715238,-99.158864,falso,bebedor_casual,formal,familia,transporte_publico,soltero,1991,tecnología,estudiante,medio,asiatica,dinero_efectivo
44,U1060,132717,2,2,2,23.715238,-99.158864,falso,bebedor_casual,formal,familia,transporte_publico,soltero,1991,tecnología,estudiante,medio,asiatica,dinero_efectivo
45,U1060,132733,2,1,2,23.715238,-99.158864,falso,bebedor_casual,formal,familia,transporte_publico,soltero,1991,tecnología,estudiante,medio,asiatica,dinero_efectivo
46,U1060,132740,1,2,1,23.715238,-99.158864,falso,bebedor_casual,formal,familia,transporte_publico,soltero,1991,tecnología,estudiante,medio,asiatica,dinero_efectivo
47,U1015,135071,0,0,0,22.12676,-100.905209,verdadero,bebedor_social,informal,familia,transporte_publico,soltero,1989,tecnología,estudiante,medio,restaurante_familiar,tarjeta_debito_credito
48,U1123,132733,1,2,1,23.753112,-99.168567,falso,sobrio,informal,familia,desconocido,soltero,1987,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
49,U1123,132608,1,2,1,23.753112,-99.168567,falso,sobrio,informal,familia,desconocido,soltero,1987,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
50,U1123,135104,2,2,2,23.753112,-99.168567,falso,sobrio,informal,familia,desconocido,soltero,1987,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
51,U1123,132584,1,2,0,23.753112,-99.168567,falso,sobrio,informal,familia,desconocido,soltero,1987,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
52,U1123,132667,1,2,1,23.753112,-99.168567,falso,sobrio,informal,familia,desconocido,soltero,1987,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
53,U1123,132740,1,1,1,23.753112,-99.168567,falso,sobrio,informal,familia,desconocido,soltero,1987,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
54,U1123,132613,1,2,1,23.753112,-99.168567,falso,sobrio,informal,familia,desconocido,soltero,1987,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
55,U1123,132594,1,1,1,23.753112,-99.168567,falso,sobrio,informal,familia,desconocido,soltero,1987,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
56,U1021,132740,2,2,1,23.730569,-99.171883,falso,bebedor_social,sin_preferencia,familia,auto,soltero,1984,ninguno,estudiante,medio,latinoamericana,tarjeta_debito_credito
57,U1026,132626,2,2,2,23.733,-99.133,falso,sobrio,formal,familia,transporte_publico,soltero,1989,tecnología,estudiante,medio,restaurante_familiar,dinero_efectivo
58,U1021,132668,2,2,2,23.730569,-99.171883,falso,bebedor_social,sin_preferencia,familia,auto,soltero,1984,ninguno,estudiante,medio,latinoamericana,tarjeta_debito_credito
59,U1021,132715,2,2,1,23.730569,-99.171883,falso,bebedor_social,sin_preferencia,familia,auto,soltero,1984,ninguno,estudiante,medio,latinoamericana,tarjeta_debito_credito
60,U1044,134987,0,0,0,18.95298,-99.260789,verdadero,bebedor_social,informal,familia,auto,casado,1969,variedad,profesional,medio,asiatica,dinero_efectivo
61,U1083,135034,2,2,2,22.13392,-101.028373,falso,sobrio,sin_preferencia,solitario,desconocido,soltero,1981,ninguno,desconocido,medio,latinoamericana,tarjeta_debito_credito
62,U1083,132723,1,1,1,22.13392,-101.028373,falso,sobrio,sin_preferencia,solitario,desconocido,soltero,1981,ninguno,desconocido,medio,latinoamericana,tarjeta_debito_credito
63,U1083,135046,2,2,1,22.13392,-101.028373,falso,sobrio,sin_preferencia,solitario,desconocido,soltero,1981,ninguno,desconocido,medio,latinoamericana,tarjeta_debito_credito
64,U1108,135075,2,2,2,22.143524,-100.987562,falso,sobrio,informal,solitario,transporte_publico,soltero,1983,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
65,U1108,132572,1,2,1,22.143524,-100.987562,falso,sobrio,informal,solitario,transporte_publico,soltero,1983,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
66,U1108,135074,2,2,1,22.143524,-100.987562,falso,sobrio,informal,solitario,transporte_publico,soltero,1983,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
67,U1108,135028,1,1,1,22.143524,-100.987562,falso,sobrio,informal,solitario,transporte_publico,soltero,1983,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
68,U1108,135085,1,2,1,22.143524,-100.987562,falso,sobrio,informal,solitario,transporte_publico,soltero,1983,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
69,U1108,135032,2,1,2,22.143524,-100.987562,falso,sobrio,informal,solitario,transporte_publico,soltero,1983,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
70,U1108,135086,1,1,0,22.143524,-100.987562,falso,sobrio,informal,solitario,transporte_publico,soltero,1983,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
71,U1108,132723,2,2,2,22.143524,-100.987562,falso,sobrio,informal,solitario,transporte_publico,soltero,1983,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
72,U1108,135046,1,2,1,22.143524,-100.987562,falso,sobrio,informal,solitario,transporte_publico,soltero,1983,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
73,U1108,135058,1,1,1,22.143524,-100.987562,falso,sobrio,informal,solitario,transporte_publico,soltero,1983,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
74,U1012,135001,1,1,2,18.813348,-99.243697,falso,bebedor_casual,formal,familia,transporte_publico,soltero,1988,tecnología,estudiante,medio,panaderia_cafeteria,dinero_efectivo
75,U1012,134983,2,2,2,18.813348,-99.243697,falso,bebedor_casual,formal,familia,transporte_publico,soltero,1988,tecnología,estudiante,medio,panaderia_cafeteria,dinero_efectivo
76,U1012,134996,2,2,2,18.813348,-99.243697,falso,bebedor_casual,formal,familia,transporte_publico,soltero,1988,tecnología,estudiante,medio,panaderia_cafeteria,dinero_efectivo
77,U1093,135019,2,2,2,18.871654,-99.183251,verdadero,bebedor_casual,sin_preferencia,familia,auto,soltero,1990,variedad,estudiante,medio,latinoamericana,tarjeta_debito_credito
78,U1093,134996,2,2,2,18.871654,-99.183251,verdadero,bebedor_casual,sin_preferencia,familia,auto,soltero,1990,variedad,estudiante,medio,latinoamericana,tarjeta_debito_credito
79,U1093,135001,2,2,2,18.871654,-99.183251,verdadero,bebedor_casual,sin_preferencia,familia,auto,soltero,1990,variedad,estudiante,medio,latinoamericana,tarjeta_debito_credito
80,U1093,134976,2,2,1,18.871654,-99.183251,verdadero,bebedor_casual,sin_preferencia,familia,auto,soltero,1990,variedad,estudiante,medio,latinoamericana,tarjeta_debito_credito
81,U1093,134999,2,2,2,18.871654,-99.183251,verdadero,bebedor_casual,sin_preferencia,familia,auto,soltero,1990,variedad,estudiante,medio,latinoamericana,tarjeta_debito_credito
82,U1030,135018,2,2,2,18.844818,-99.182758,falso,bebedor_casual,formal,familia,caminando,soltero,1991,eco-friendly,estudiante,medio,norteamericana,tarjeta_debito_credito
83,U1093,135013,2,2,1,18.871654,-99.183251,verdadero,bebedor_casual,sin_preferencia,familia,auto,soltero,1990,variedad,estudiante,medio,latinoamericana,tarjeta_debito_credito
84,U1030,134986,2,2,2,18.844818,-99.182758,falso,bebedor_casual,formal,familia,caminando,soltero,1991,eco-friendly,estudiante,medio,norteamericana,tarjeta_debito_credito
85,U1012,134986,2,2,2,18.813348,-99.243697,falso,bebedor_casual,formal,familia,transporte_publico,soltero,1988,tecnología,estudiante,medio,panaderia_cafeteria,dinero_efectivo
86,U1012,135018,2,2,2,18.813348,-99.243697,falso,bebedor_casual,formal,familia,transporte_publico,soltero,1988,tecnología,estudiante,medio,panaderia_cafeteria,dinero_efectivo
87,U1030,135088,1,0,1,18.844818,-99.182758,falso,bebedor_casual,formal,familia,caminando,soltero,1991,eco-friendly,estudiante,medio,norteamericana,tarjeta_debito_credito
88,U1093,132767,2,2,2,18.871654,-99.183251,verdadero,bebedor_casual,sin_preferencia,familia,auto,soltero,1990,variedad,estudiante,medio,latinoamericana,tarjeta_debito_credito
89,U1030,135016,0,0,0,18.844818,-99.182758,falso,bebedor_casual,formal,familia,caminando,soltero,1991,eco-friendly,estudiante,medio,norteamericana,tarjeta_debito_credito
90,U1093,135011,1,1,0,18.871654,-99.183251,verdadero,bebedor_casual,sin_preferencia,familia,auto,soltero,1990,variedad,estudiante,medio,latinoamericana,tarjeta_debito_credito
91,U1030,132767,0,0,0,18.844818,-99.182758,falso,bebedor_casual,formal,familia,caminando,soltero,1991,eco-friendly,estudiante,medio,norteamericana,tarjeta_debito_credito
92,U1030,135019,0,0,0,18.844818,-99.182758,falso,bebedor_casual,formal,familia,caminando,soltero,1991,eco-friendly,estudiante,medio,norteamericana,tarjeta_debito_credito
93,U1030,135109,0,0,0,18.844818,-99.182758,falso,bebedor_casual,formal,familia,caminando,soltero,1991,eco-friendly,estudiante,medio,norteamericana,tarjeta_debito_credito
94,U1030,134996,0,0,0,18.844818,-99.182758,falso,bebedor_casual,formal,familia,caminando,soltero,1991,eco-friendly,estudiante,medio,norteamericana,tarjeta_debito_credito
95,U1066,135011,1,2,2,18.890695,-99.157104,falso,sobrio,informal,solitario,transporte_publico,soltero,1986,tecnología,estudiante,bajo,latinoamericana,dinero_efectivo
96,U1066,134999,1,1,1,18.890695,-99.157104,falso,sobrio,informal,solitario,transporte_publico,soltero,1986,tecnología,estudiante,bajo,latinoamericana,dinero_efectivo
97,U1127,134975,2,2,2,18.943935,-99.206532,falso,sobrio,sin_preferencia,solitario,transporte_publico,soltero,1992,variedad,estudiante,bajo,latinoamericana,dinero_efectivo
98,U1127,135021,2,1,1,18.943935,-99.206532,falso,sobrio,sin_preferencia,solitario,transporte_publico,soltero,1992,variedad,estudiante,bajo,latinoamericana,dinero_efectivo
99,U1127,134987,2,0,2,18.943935,-99.206532,falso,sobrio,sin_preferencia,solitario,transporte_publico,soltero,1992,variedad,estudiante,bajo,latinoamericana,dinero_efectivo
100,U1127,134996,2,2,2,18.943935,-99.206532,falso,sobrio,sin_preferencia,solitario,transporte_publico,soltero,1992,variedad,estudiante,bajo,latinoamericana,dinero_efectivo
101,U1017,132768,1,1,1,18.952615,-99.201616,falso,bebedor_casual,formal,familia,transporte_publico,soltero,1991,retro,profesional,medio,latinoamericana,dinero_efectivo
102,U1066,135019,2,1,0,18.890695,-99.157104,falso,sobrio,informal,solitario,transporte_publico,soltero,1986,tecnología,estudiante,bajo,latinoamericana,dinero_efectivo
103,U1017,134975,2,1,1,18.952615,-99.201616,falso,bebedor_casual,formal,familia,transporte_publico,soltero,1991,retro,profesional,medio,latinoamericana,dinero_efectivo
104,U1017,134983,0,0,1,18.952615,-99.201616,falso,bebedor_casual,formal,familia,transporte_publico,soltero,1991,retro,profesional,medio,latinoamericana,dinero_efectivo
105,U1066,132767,1,2,1,18.890695,-99.157104,falso,sobrio,informal,solitario,transporte_publico,soltero,1986,tecnología,estudiante,bajo,latinoamericana,dinero_efectivo
106,U1100,135021,2,1,0,18.879729,-99.067106,falso,bebedor_casual,formal,amigos,transporte_publico,soltero,1990,eco-friendly,estudiante,medio,norteamericana,dinero_efectivo
107,U1100,134996,2,1,1,18.879729,-99.067106,falso,bebedor_casual,formal,amigos,transporte_publico,soltero,1990,eco-friendly,estudiante,medio,norteamericana,dinero_efectivo
108,U1066,135013,1,2,2,18.890695,-99.157104,falso,sobrio,informal,solitario,transporte_publico,soltero,1986,tecnología,estudiante,bajo,latinoamericana,dinero_efectivo
109,U1100,135000,2,1,1,18.879729,-99.067106,falso,bebedor_casual,formal,amigos,transporte_publico,soltero,1990,eco-friendly,estudiante,medio,norteamericana,dinero_efectivo
110,U1100,135001,2,2,2,18.879729,-99.067106,falso,bebedor_casual,formal,amigos,transporte_publico,soltero,1990,eco-friendly,estudiante,medio,norteamericana,dinero_efectivo
111,U1100,132768,2,2,2,18.879729,-99.067106,falso,bebedor_casual,formal,amigos,transporte_publico,soltero,1990,eco-friendly,estudiante,medio,norteamericana,dinero_efectivo
112,U1100,134976,2,2,1,18.879729,-99.067106,falso,bebedor_casual,formal,amigos,transporte_publico,soltero,1990,eco-friendly,estudiante,medio,norteamericana,dinero_efectivo
113,U1133,134983,1,1,1,18.886698,-99.114979,falso,sobrio,sin_preferencia,familia,auto,soltero,1991,ninguno,estudiante,medio,latinoamericana,tarjeta_debito_credito
114,U1133,134986,2,2,2,18.886698,-99.114979,falso,sobrio,sin_preferencia,familia,auto,soltero,1991,ninguno,estudiante,medio,latinoamericana,tarjeta_debito_credito
115,U1133,132766,1,1,0,18.886698,-99.114979,falso,sobrio,sin_preferencia,familia,auto,soltero,1991,ninguno,estudiante,medio,latinoamericana,tarjeta_debito_credito
116,U1133,132767,0,0,0,18.886698,-99.114979,falso,sobrio,sin_preferencia,familia,auto,soltero,1991,ninguno,estudiante,medio,latinoamericana,tarjeta_debito_credito
117,U1133,135021,2,2,2,18.886698,-99.114979,falso,sobrio,sin_preferencia,familia,auto,soltero,1991,ninguno,estudiante,medio,latinoamericana,tarjeta_debito_credito
118,U1133,135001,2,2,2,18.886698,-99.114979,falso,sobrio,sin_preferencia,familia,auto,soltero,1991,ninguno,estudiante,medio,latinoamericana,tarjeta_debito_credito
119,U1133,134975,1,1,1,18.886698,-99.114979,falso,sobrio,sin_preferencia,familia,auto,soltero,1991,ninguno,estudiante,medio,latinoamericana,tarjeta_debito_credito
120,U1133,134992,1,2,1,18.886698,-99.114979,falso,sobrio,sin_preferencia,familia,auto,soltero,1991,ninguno,estudiante,medio,latinoamericana,tarjeta_debito_credito
121,U1133,135019,1,2,0,18.886698,-99.114979,falso,sobrio,sin_preferencia,familia,auto,soltero,1991,ninguno,estudiante,medio,latinoamericana,tarjeta_debito_credito
122,U1118,134987,0,0,0,18.940062,-99.228172,verdadero,bebedor_casual,informal,amigos,transporte_publico,soltero,1987,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
123,U1072,135016,1,2,2,18.86826,-99.212033,falso,bebedor_casual,sin_preferencia,familia,transporte_publico,soltero,1984,eco-friendly,estudiante,medio,latinoamericana,dinero_efectivo
124,U1072,132773,2,1,2,18.86826,-99.212033,falso,bebedor_casual,sin_preferencia,familia,transporte_publico,soltero,1984,eco-friendly,estudiante,medio,latinoamericana,dinero_efectivo
125,U1072,135088,0,1,0,18.86826,-99.212033,falso,bebedor_casual,sin_preferencia,familia,transporte_publico,soltero,1984,eco-friendly,estudiante,medio,latinoamericana,dinero_efectivo
126,U1026,132561,1,1,1,23.733,-99.133,falso,sobrio,formal,familia,transporte_publico,soltero,1989,tecnología,estudiante,medio,restaurante_familiar,dinero_efectivo
127,U1026,132706,0,2,0,23.733,-99.133,falso,sobrio,formal,familia,transporte_publico,soltero,1989,tecnología,estudiante,medio,restaurante_familiar,dinero_efectivo
128,U1026,132654,0,0,0,23.733,-99.133,falso,sobrio,formal,familia,transporte_publico,soltero,1989,tecnología,estudiante,medio,restaurante_familiar,dinero_efectivo
129,U1026,132665,2,2,2,23.733,-99.133,falso,sobrio,formal,familia,transporte_publico,soltero,1989,tecnología,estudiante,medio,restaurante_familiar,dinero_efectivo
130,U1023,132740,0,0,0,23.752943,-99.166589,falso,bebedor_casual,informal,amigos,auto,soltero,1988,ninguno,estudiante,bajo,norteamericana,dinero_efectivo
131,U1023,132733,2,2,2,23.752943,-99.166589,falso,bebedor_casual,informal,amigos,auto,soltero,1988,ninguno,estudiante,bajo,norteamericana,dinero_efectivo
132,U1080,132668,1,1,1,23.743793,-99.163397,verdadero,bebedor_social,formal,amigos,auto,soltero,1987,variedad,estudiante,bajo,comida_rapida,dinero_efectivo
133,U1080,132660,2,2,2,23.743793,-99.163397,verdadero,bebedor_social,formal,amigos,auto,soltero,1987,variedad,estudiante,bajo,comida_rapida,dinero_efectivo
134,U1080,132733,1,1,1,23.743793,-99.163397,verdadero,bebedor_social,formal,amigos,auto,soltero,1987,variedad,estudiante,bajo,comida_rapida,dinero_efectivo
135,U1080,132608,2,2,2,23.743793,-99.163397,verdadero,bebedor_social,formal,amigos,auto,soltero,1987,variedad,estudiante,bajo,comida_rapida,dinero_efectivo
136,U1063,132660,2,2,2,23.745096,-99.164357,falso,bebedor_casual,formal,familia,transporte_publico,soltero,1988,eco-friendly,estudiante,medio,latinoamericana,tarjeta_debito_credito
137,U1063,132584,2,1,1,23.745096,-99.164357,falso,bebedor_casual,formal,familia,transporte_publico,soltero,1988,eco-friendly,estudiante,medio,latinoamericana,tarjeta_debito_credito
138,U1063,132609,1,0,1,23.745096,-99.164357,falso,bebedor_casual,formal,familia,transporte_publico,soltero,1988,eco-friendly,estudiante,medio,latinoamericana,tarjeta_debito_credito
139,U1063,135104,1,2,1,23.745096,-99.164357,falso,bebedor_casual,formal,familia,transporte_publico,soltero,1988,eco-friendly,estudiante,medio,latinoamericana,tarjeta_debito_credito
140,U1063,132667,1,2,1,23.745096,-99.164357,falso,bebedor_casual,formal,familia,transporte_publico,soltero,1988,eco-friendly,estudiante,medio,latinoamericana,tarjeta_debito_credito
141,U1080,132564,1,1,1,23.743793,-99.163397,verdadero,bebedor_social,formal,amigos,auto,soltero,1987,variedad,estudiante,bajo,comida_rapida,dinero_efectivo
142,U1080,132715,1,1,1,23.743793,-99.163397,verdadero,bebedor_social,formal,amigos,auto,soltero,1987,variedad,estudiante,bajo,comida_rapida,dinero_efectivo
143,U1082,132732,0,0,0,23.753061,-99.166095,verdadero,sobrio,informal,amigos,transporte_publico,soltero,1989,variedad,estudiante,medio,latinoamericana,dinero_efectivo
144,U1082,132733,0,0,0,23.753061,-99.166095,verdadero,sobrio,informal,amigos,transporte_publico,soltero,1989,variedad,estudiante,medio,latinoamericana,dinero_efectivo
145,U1074,135011,2,1,2,18.917,-99.25,verdadero,bebedor_casual,sin_preferencia,familia,auto,soltero,1967,eco-friendly,profesional,medio,latinoamericana,dinero_efectivo
146,U1074,134987,2,2,2,18.917,-99.25,verdadero,bebedor_casual,sin_preferencia,familia,auto,soltero,1967,eco-friendly,profesional,medio,latinoamericana,dinero_efectivo
147,U1074,134976,2,2,2,18.917,-99.25,verdadero,bebedor_casual,sin_preferencia,familia,auto,soltero,1967,eco-friendly,profesional,medio,latinoamericana,dinero_efectivo
148,U1117,135018,1,1,1,18.875641,-99.220737,falso,sobrio,sin_preferencia,amigos,transporte_publico,soltero,1982,tecnología,profesional,medio,latinoamericana,dinero_efectivo
149,U1117,132766,0,0,1,18.875641,-99.220737,falso,sobrio,sin_preferencia,amigos,transporte_publico,soltero,1982,tecnología,profesional,medio,latinoamericana,dinero_efectivo
150,U1117,135088,1,1,2,18.875641,-99.220737,falso,sobrio,sin_preferencia,amigos,transporte_publico,soltero,1982,tecnología,profesional,medio,latinoamericana,dinero_efectivo
151,U1117,135016,2,2,1,18.875641,-99.220737,falso,sobrio,sin_preferencia,amigos,transporte_publico,soltero,1982,tecnología,profesional,medio,latinoamericana,dinero_efectivo
152,U1117,132773,1,2,2,18.875641,-99.220737,falso,sobrio,sin_preferencia,amigos,transporte_publico,soltero,1982,tecnología,profesional,medio,latinoamericana,dinero_efectivo
153,U1117,135000,1,1,1,18.875641,-99.220737,falso,sobrio,sin_preferencia,amigos,transporte_publico,soltero,1982,tecnología,profesional,medio,latinoamericana,dinero_efectivo
154,U1118,132583,0,0,0,18.940062,-99.228172,verdadero,bebedor_casual,informal,amigos,transporte_publico,soltero,1987,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
155,U1118,132768,0,0,0,18.940062,-99.228172,verdadero,bebedor_casual,informal,amigos,transporte_publico,soltero,1987,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
156,U1118,135021,2,0,0,18.940062,-99.228172,verdadero,bebedor_casual,informal,amigos,transporte_publico,soltero,1987,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
157,U1118,134983,0,0,0,18.940062,-99.228172,verdadero,bebedor_casual,informal,amigos,transporte_publico,soltero,1987,tecnología,estudiante,medio,latinoamericana,dinero_efectivo
